FAF DU PLESSIS		MS DHONI		RAVI ASHWIN
5			16			8			
88			50			0
86 			0			2
1			18			11
76			12			5
10			18			6	
25			0			6
41			14			0
43			1			2
31			11			3	
0			17			8
36			2			7
33			3			0	
95			11			0	
50			1			3
56			14			11
50			18			11	
0			12			2
31			18			9	
43			19			1
41			1			9
25 			16			11
10 			28			0
76			3			14
1			21			10
86			10			12
58			11			8
72			47			9
43			15			23
22			8			1
87			32			2
17			75			1
8			12			0
0			37			29
58			58			0
10			16			1
1			84			23		
25			44			0
48			10			1
54			37			33		
43			9			14
7			2			6
24			5			4	
45			25			0
5			79			0
1			5			45
39			25			0
26			70			0
10			26			3
67			51			17	
14			43			16
